(4 oz) Homemade Roasted Chili Oil,$8.00,2,16,0,16,2021-01-01 00:00:00,2021-01-31 00:00:00
(8oz) Homemade Roasted Chili Oil,$15.00,1,15,0,15,2021-01-01 00:00:00,2021-01-31 00:00:00
A1 Madam Roll,$4.50,225,1012.5,0,1012.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A1 Madam Rolls,$3.75,118,527.25,0,527.25,2021-01-01 00:00:00,2021-01-31 00:00:00
A1 Madam Rolls (Veg),$4.50,13,58.5,0,58.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A1 Sauce,$0.75,6,4.5,0,4.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A11 Edamame,$5.50,27,148.5,0,148.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A11 Roasted Chili Edamame *,$4.75,29,156.5,0,156.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A2 Fresh Spring Rolls,$4.75,82,406.05,0,406.05,2021-01-01 00:00:00,2021-01-31 00:00:00
A2 Fresh Spring Rolls (Veg),$4.95,6,29.7,0,29.7,2021-01-01 00:00:00,2021-01-31 00:00:00
A2 Sauce,$0.75,6,4.5,0,4.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A2 Spring Roll,$4.95,116,574.2,0,574.2,2021-01-01 00:00:00,2021-01-31 00:00:00
A3 Brussels,$6.50,61,398.5,0,398.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A3 Brussels Sprout *,$5.95,72,462.5,0,462.5,2021-01-01 00:00:00,2021-01-31 00:00:00
A3 Brussels Sprout * (Veg),$5.95,4,25.9,0,25.9,2021-01-01 00:00:00,2021-01-31 00:00:00
A4 Sauce,$0.75,1,0.75,0,0.75,2021-01-01 00:00:00,2021-01-31 00:00:00
A4 Thai Gyoza ,$4.95,192,1052.75,0,1052.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Asahi (Bottle),$3.00,4,12,0,12,2021-01-01 00:00:00,2021-01-31 00:00:00
Bankrupt Noodle,$9.75,1,9.75,0,9.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Bean Thread (Clear Glass) Noodle,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
Brown Rice,$3.00,2,6,0,6,2021-01-01 00:00:00,2021-01-31 00:00:00
Chili FishSauce,$0.75,1,0.75,0,0.75,2021-01-01 00:00:00,2021-01-31 00:00:00
D1 Rice Mango,$6.50,52,338,0,338,2021-01-01 00:00:00,2021-01-31 00:00:00
D1 Sweet Coconut Sticky Rice with Mango,$5.95,29,186.65,0,186.65,2021-01-01 00:00:00,2021-01-31 00:00:00
D1 Sweet Coconut Sticky Rice with Mango (Veg),$5.95,9,59.3,0,59.3,2021-01-01 00:00:00,2021-01-31 00:00:00
D2 Rice Custard,$5.50,6,33,0,33,2021-01-01 00:00:00,2021-01-31 00:00:00
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,$5.50,8,44,0,44,2021-01-01 00:00:00,2021-01-31 00:00:00
Diet Dr.Pepper,$2.50,4,10,0,10,2021-01-01 00:00:00,2021-01-31 00:00:00
Diet Pepsi,$1.75,4,9.25,0,9.25,2021-01-01 00:00:00,2021-01-31 00:00:00
Diet Pepso,$2.50,9,22.5,0,22.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Dr. Pepper,$1.75,7,16.75,0,16.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Dr.Pepper,$2.50,7,17.5,0,17.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Easy Peasy IPA,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
Edamame,$5.50,1,5.5,0,5.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Extra A2 Sauce (Homemade Peanut Sauce),$0.75,2,1.5,0,1.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Extra A4 Sauce (Mam's Homemade Thai Gyoza Sauce) ,$0.75,1,0.75,0,0.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Extra Chili Lime Fish Sauce,$0.75,1,0.75,0,0.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),$1.00,1,1,0,1,2021-01-01 00:00:00,2021-01-31 00:00:00
F1 Pad Thai,$9.50,348,3336.5,0,3336.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F1 Pad Thai*,$9.25,234,2276.5,0,2276.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F10 Pad Macaroni ( Shrimp or Squid ),$10.50,1,12.5,0,12.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F11 Guay Teaw Kua Gai ,$9.75,14,139.25,0,139.25,2021-01-01 00:00:00,2021-01-31 00:00:00
F11 Teaw Kua Gai,$9.75,38,376.5,0,376.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F12 Teaw Nuer Sub,$9.95,2,19.9,0,19.9,2021-01-01 00:00:00,2021-01-31 00:00:00
F12. Guay Teaw Nuer Sub,$9.95,8,82.85,0,82.85,2021-01-01 00:00:00,2021-01-31 00:00:00
F13 (Street Padthai) Bankrupt Noodle,$9.75,68,693.75,0,693.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F13 Bankrupt Noodle,$9.75,95,942.25,0,942.25,2021-01-01 00:00:00,2021-01-31 00:00:00
F13. (Street Padthai) Bankrupt Noodle,$9.25,13,128,0,128,2021-01-01 00:00:00,2021-01-31 00:00:00
F14 Pad Woon Sen,$9.75,22,227.6,0,227.6,2021-01-01 00:00:00,2021-01-31 00:00:00
F14 Pad WoonSen,$9.95,25,250.75,1,249.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F15 Pad Woon Sen,$11.95,3,35.85,0,35.85,2021-01-01 00:00:00,2021-01-31 00:00:00
F2 Pad Thai,$10.50,28,298,0,298,2021-01-01 00:00:00,2021-01-31 00:00:00
F2 Pad Thai ( Shrimp or Squid )*,$11.25,16,173.75,0,173.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F3 Pad Sea-Ew,$9.50,661,6406.25,0,6406.25,2021-01-01 00:00:00,2021-01-31 00:00:00
F4 Pad Sea-Ew,$10.50,23,243.5,0,243.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F4 Pad Sea-Ew ( Shrimp or Squid ),$11.25,13,144.75,0,144.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F5 Pad KeeMao,$9.50,146,1396,0,1396,2021-01-01 00:00:00,2021-01-31 00:00:00
F5 Spicy Pad Kee Mao (Drunken Noodle)***,$9.25,103,1000.75,0,1000.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F6 Pad KeeMao,$10.50,10,107,0,107,2021-01-01 00:00:00,2021-01-31 00:00:00
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,$11.25,15,167.5,0,167.5,2021-01-01 00:00:00,2021-01-31 00:00:00
F7 Lard Na,$9.25,19,180.75,0,180.75,2021-01-01 00:00:00,2021-01-31 00:00:00
F8 Lard Na,$10.50,2,21,0,21,2021-01-01 00:00:00,2021-01-31 00:00:00
F9 Pad Macaroni,$9.50,7,66.5,0,66.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Fireman #4,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
Flat Rice Noodle,$3.00,1,3,0,3,2021-01-01 00:00:00,2021-01-31 00:00:00
