Food Name,Menu Price,Quantity,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,$8.00,2,16,0,16
(8oz) Homemade Roasted Chili Oil,$15.00,3,45,0,45
A1 Madam Roll,$4.50,282,1267.25,2.04,1265.21
A1 Madam Roll 1/2,$1.75,24,52,0,52
A1 Madam Rolls,$4.50,112,513,0,513
A1 Madam Rolls (Veg),$4.50,1,4.5,0,4.5
A1 Sauce,$0.75,8,6,0,6
A11 Edamame,$5.50,61,365,0,365
A11 Edamame 1/2,$2.50,2,5,0,5
A11 Edamame 1/3,$2.00,3,6,0,6
A11 Roasted Chili Edamame *,$6.00,31,187.5,0,187.5
A2 Fresh Spring Rolls,$4.95,74,379.6,0,379.6
A2 Fresh Spring Rolls (GF),$5.00,4,20.75,0,20.75
A2 Fresh Spring Rolls (Veg),$5.00,5,25,0,25
A2 Sauce,$0.75,8,6,0,6
A2 Spring Roll,$4.95,216,1079.4,0,1079.4
A2 Spring Roll 1/2,$2.50,18,45,0,45
A2 Spring Roll 1/5,$1.00,5,5,0,5
A3 Brussels,$6.50,119,823,2.73,820.27
A3 Brussels 1/2,$3.50,6,21,0,21
A3 Brussels Sprout *,$6.50,36,251.5,0,251.5
A3 Brussels Sprout * (Veg),$7.00,2,14,0,14
A3 Sauce,$1.00,1,1,0,1
A4 Sauce 1/2,$0.38,2,0.75,0,0.75
A4 Thai Gyoza,$5.50,254,1749,0,1749
A4 Thai Gyoza 1/2,$3.00,16,55,0,55
A4 Thai Gyoza 1/3,$2.33,9,21,0,21
Asahi,$3.00,17,49,0,49
Asahi (Bottle),$3.00,5,15,0,15
Brown Rice,$3.00,7,21,0,21
Bud Light,$2.00,22,44,0,44
Chang,$3.00,2,6,0,6
Cloudfall Pinot Noir,$6.00,2,12,0,12
D1 Rice Mango,$6.50,12,80.5,2.1,78.4
D2 Rice Custard,$5.50,50,275,3.6,271.4
D2 Rice Custard 1/2,$2.75,2,5.5,0,5.5
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,$5.50,10,56,0,56
Diet Dr.Pepper,$2.50,13,32.5,0,32.5
Diet Pepso,$2.50,33,82.5,0.25,82.25
Dos XX,$3.00,26,77,0,77
Dr. Pepper,$2.50,7,17.5,0,17.5
Dr.Pepper,$2.50,38,95,0.38,94.62
Dr.Pepper 1/2,$1.25,2,2.5,0,2.5
Extra A2 Sauce (Homemade Peanut Sauce),$0.75,9,6.75,0,6.75
Extra A4 Sauce (Mam's Homemade Thai Gyoza Sauce) ,$0.75,2,1.5,0,1.5
Extra Chili Lime Fish Sauce,$0.75,1,0.75,0,0.75
Extra Cucumber Pickle Sauce,$0.75,1,0.75,0,0.75
Extra S2 Sauce (Homemade Hot Spicy Lime Sauce),$1.00,4,4,0,4
F1 Pad Thai,$9.50,695,7692.5,3.16,7689.34
F1 Pad Thai (GF),$11.00,4,44,0,44
F1 Pad Thai 1/2,$5.50,6,33,0,33
F1 Pad Thai 1/3,$3.67,9,33,0,33
F1 Pad Thai*,$9.50,258,2957.2,0,2957.2
F1 Pad Thai* (GF),$11.00,7,82.5,0,82.5
F10 Pad Macaroni,$13.00,10,150,0,150
F10 Pad Macaroni ( Shrimp or Squid ),$13.00,2,26,0,26
F10 Pad Macaroni 1/2,$6.50,2,15,0,15
F11 Guay Teaw Kua Gai ,$9.75,14,154.75,0,154.75
F11 Teaw Kua Gai,$9.75,70,778.25,0,778.25
F11 Teaw Kua Gai 1/2,$5.50,2,11,0,11
F12 Teaw Nuer Sub,$9.95,11,119.95,0,119.95
F12. Guay Teaw Nuer Sub,$9.95,8,90.9,0,90.9
F13 (Street Padthai) Bankrupt Noodle,$9.75,96,1105.75,0,1105.75
F13 (Street Padthai) Bankrupt Noodle (GF),$11.00,1,16.8,0,16.8
F13 Bankrupt Noodle,$9.75,243,2711.5,3.85,2707.65
F13 Bankrupt Noodle (GF),$11.00,1,11,0,11
F13 Bankrupt Noodle 1/2,$5.50,4,22,0,22
F13 Pad Sea-Ew,$10.75,1,10.75,0,10.75
F14 Pad Woon Sen,$9.95,32,362.95,0,362.95
F14 Pad WoonSen,$9.95,56,624.7,0,624.7
F14 Pad WoonSen 1/2,$5.50,4,26,0,26
F15 Pad Woon Sen,$13.00,6,78,0,78
F2 Pad Thai,$10.50,99,1280.5,0,1280.5
F2 Pad Thai ( Shrimp or Squid )*,$13.00,25,328,0,328
F2 Pad Thai ( Shrimp or Squid )* (GF),$13.00,2,28,0,28
F2 Pad Thai 1/2,$5.25,8,49.5,0,49.5
F3 Pad Sea-Ew,$9.50,1015,11357.15,1.95,11355.20
F3 Pad Sea-Ew 1/2,$5.50,6,35,0,35
F4 Pad Sea-Ew,$10.50,50,596,0,596
F4 Pad Sea-Ew ( Shrimp or Squid ),$10.50,22,290.25,0,290.25
F4 Pad Sea-Ew 1/4,$3.25,4,13,0,13
F5 Pad Kee Mao (Drunken Noodle)*** (GF),$11.00,2,24,0,24
F5 Pad KeeMao,$9.50,407,4493.8,6.55,4487.25
F5 Pad KeeMao 1/2,$5.50,6,33,0,33
F5 Pad KeeMao 1/5,$2.20,5,11,0,11
F5 Spicy Pad Kee Mao (Drunken Noodle)***,$9.50,158,1820.25,0,1820.25
F6 Pad KeeMao,$10.50,44,571,0,571
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,$13.00,8,107,0,107
F7 Lard Na,$11.00,28,318,0,318
F8 Lard Na,$13.00,1,13,0,13
F8 Lard Na ( Shrimp or Squid ),$13.00,1,13,0,13
F9 Pad Macaroni,$9.50,48,532.5,1.65,530.85
F9 Pad Macaroni (Veg),$11.00,2,26.8,0,26.8
Fireman #4,$3.00,15,45,0,45
Flat Rice Noodle,$3.00,1,3,0,3
G1 Lek Hang,$9.50,13,150,0,150
G1 Soup,$2.00,2,4,0,4
G4 Yum Guay Teaw *,$11.00,1,11,0,11
G4 Yum Teaw*,$9.75,21,237.75,1.1,236.65
Ginger Spice Tea,$3.00,2,6,0,6
Ice Thai Milk Green Tea ,$3.95,18,71.1,0,71.1
Jarritos,$3.00,41,123,0,123
Jarritos 1/3,$1.00,6,6,0,6
Jasmin Jade Tea,$3.00,6,18,0,18
Jasmine White Rice,$2.50,23,57.5,0,57.5
Kenwood Cab Sauvignon,$6.00,4,26,0,26
Kirin Ichiban,$3.00,106,309,0.3,308.7
Kirin Ichiban (Bottle) ,$3.00,3,9,0,9
Kirin Ichiban 1/2,$1.00,2,2,0,2
Kirin Light,$3.00,1,3,0,3
Kirin Light (Bottle) ,$3.00,1,3,0,3
Kirin Light 1/2,$1.00,2,2,0,2
Lemongrass Ginger Tea,$3.00,8,24,0,24
Mam's Ice Thai Coffee,$3.50,21,73.5,0,73.5
Mam's Ice Thai Tea ,$3.50,12,42,0,42
