,Food Sales Alphabetical,,,,,,,,
,"July 01, 2021 - July 31, 2021",,,,,,,,
Food Name,,Menu Price,,,Quantity,,Gross,Discount,Net
(4 oz) Homemade Roasted Chili Oil,,,$8.00,1,,,8,0,8
A1 Madam Roll,,,$4.50,276,,,1242,0,1242
A1 Madam Rolls,,,$4.50,93,,,425.25,0,425.25
A1 Madam Rolls (Veg),,,$4.50,2,,,9,0,9
A1 Sauce,,,$0.75,12,,,9,0.19,8.81
A11 Edamame,,,$5.50,45,,,247.5,0,247.5
A11 Roasted Chili Edamame *,,,$5.50,15,,,82.5,0,82.5
A2 Fresh Spring Rolls,,,$4.95,87,,,440.4,0,440.4
A2 Fresh Spring Rolls (GF),,,$4.95,4,,,19.8,0,19.8
A2 Fresh Spring Rolls (Veg),,,$4.95,3,,,14.85,0,14.85
A2 Sauce,,,$0.75,11,,,8.25,0,8.25
A2 Spring Roll,,,$4.95,175,,,866.25,0,866.25
A3 Brussels,,,$6.50,90,,,585,0,585
A3 Brussels Sprout *,,,$6.50,33,,,214.5,0,214.5
A3 Brussels Sprout * (Veg),,,$6.50,2,,,13,0,13
A4 Sauce,,,$0.75,9,,,6.75,0,6.75
A4 Thai Gyoza,,,$5.50,245,,,1350.5,0,1350.5
Asahi,,,$3.00,11,,,33,0,33
Austin Eastciders Original,,,$3.00,1,,,3,0,3
Brown Rice,,,$3.00,4,,,12,0,12
Chang,,,$3.00,5,,,15,0,15
D1 Rice Mango,,,$6.50,76,,,494,1.3,492.7
D1 Sweet Coconut Sticky Rice with Mango,,,$6.50,18,,,119,0,119
D2 Rice Custard,,,$5.50,14,,,77,1.38,75.62
D2 Sweet Coconut Sticky Rice with Thai Egg Custard,,,$5.50,7,,,39.5,0,39.5
Diet Dr.Pepper,,,$2.50,7,,,17.5,0,17.5
Diet Pepso,,,$2.50,24,,,60,0,60
Dr. Pepper,,,$2.50,5,,,12.5,0,12.5
Dr.Pepper,,,$2.50,37,,,92.5,0,92.5
Extra A1 Sauce (Homemade Sweet and Sour Sauce),,,$0.75,5,,,3.75,0,3.75
Extra A2 Sauce (Homemade Peanut Sauce),,,$0.75,6,,,4.5,0,4.5
Extra Chili Lime Fish Sauce,,,$0.75,2,,,1.5,0,1.5
F1 Pad Thai,,,$9.50,502,,,4820.5,0,4820.5
F1 Pad Thai (GF),,,$10.50,1,,,10.5,0,10.5
F1 Pad Thai*,,,$9.50,176,,,1720,0,1720
F1 Pad Thai* (GF),,,$10.50,14,,,152.5,0,152.5
F10 Pad Macaroni,,,$10.50,4,,,50,0,50
F10 Pad Macaroni ( Shrimp or Squid ),,,$10.50,2,,,21,0,21
F11 Guay Teaw Kua Gai ,,,$9.75,10,,,98.25,0,98.25
F11 Teaw Kua Gai,,,$9.75,53,,,524.75,0,524.75
F12 Teaw Nuer Sub,,,$9.95,8,,,79.6,0,79.6
F12. Guay Teaw Nuer Sub,,,$9.95,9,,,97.3,0,97.3
F13 (Street Padthai) Bankrupt Noodle,,,$9.75,69,,,704.25,0,704.25
F13 (Street Padthai) Bankrupt Noodle (GF),,,$10.75,1,,,10.75,0,10.75
F13 Bankrupt Noodle,,,$9.75,176,,,1767,0,1767
F14 Pad Woon Sen,,,$9.95,25,,,261.75,0,261.75
F14 Pad WoonSen,,,$9.95,39,,,395.05,0,395.05
F15 Pad Woon Sen,,,$11.95,11,,,135.45,0,135.45
F2 Pad Thai,,,$10.50,61,,,660.5,0,660.5
F2 Pad Thai ( Shrimp or Squid )*,,,$10.50,16,,,176.75,0,176.75
F2 Pad Thai ( Shrimp or Squid )* (GF),,,$11.50,1,,,13.5,0,13.5
F3 Pad Sea-Ew,,,$9.50,642,,,6262.75,0,6262.75
F4 Pad Sea-Ew,,,$10.50,41,,,447.5,0,447.5
F4 Pad Sea-Ew ( Shrimp or Squid ),,,$10.50,19,,,209.5,0,209.5
F5 Pad Kee Mao (Drunken Noodle)*** (GF),,,$10.50,2,,,21,0,21
F5 Pad KeeMao,,,$9.50,226,,,2196.5,0,2196.5
F5 Spicy Pad Kee Mao (Drunken Noodle)***,,,$9.50,69,,,689.75,0,689.75
F6 Pad KeeMao,,,$10.50,26,,,277,0,277
F6 Spicy Pad Kee Mao (Drunken Noodle Sh/Sq)***,,,$10.50,14,,,149,0,149
F7 Lard Na,,,$9.50,18,,,175,0,175
F8 Lard Na,,,$10.50,3,,,33.5,0,33.5
F9 Pad Macaroni,,,$9.50,13,,,129.5,0,129.5
F9 Pad Macaroni (Veg),,,$9.75,1,,,9.75,0,9.75
Fireman #4,,,$3.00,19,,,57,0,57
Flat Rice Noodle,,,$3.00,2,,,6,0,6
G1 Lek Hang,,,$9.50,12,,,114,0,114
G1 Sen Lek Hang,,,$9.50,2,,,22,0,22
G4 Yum Teaw*,,,$9.75,15,,,152.75,0,152.75
Ginger Spice Tea,,,$3.00,1,,,3,0,3
Ice Thai Milk Green Tea ,,,$3.95,10,,,39.5,0,39.5
Jarritos,,,$3.00,62,,,186,0,186
Jasmine White Rice,,,$2.50,18,,,45,0,45
Kirin Ichiban,,,$3.00,28,,,84,0,84
Kirin Ichiban (Bottle) ,,,$3.00,1,,,3,0,3
Kirin Light,,,$3.00,10,,,30,0,30
Lemongrass Ginger Tea,,,$3.00,1,,,3,0,3
Mam's Ice Thai Coffee,,,$3.50,19,,,66.5,0,66.5
Mam's Ice Thai Tea ,,,$3.50,50,,,175,0,175
Mam's Thai coffee (NO ICE),,,$4.75,3,,,14.25,0,14.25
Mam's Thai Milk Green Tea (No Ice),,,$4.95,1,,,4.95,0,4.95
Mam's Thai Tea (NO ICE),,,$4.75,6,,,28.5,0,28.5
Mam's Wings 10 Pieces,,,$11.00,11,,,126.25,0,126.25
Mam's Wings 15 Pieces,,,$15.00,4,,,60,0,60
Mam's Wings 20 Pieces,,,$20.00,3,,,60.75,0,60.75
Mam's Wings 25 Pieces,,,$24.00,1,,,24.75,0,24.75
Mam's Wings 5 Pieces,,,$6.50,20,,,135.75,0,135.75
Mex Coke,,,$3.00,1,,,3,0,3
Mountain Dew,,,$2.50,2,,,5,0,5
NS1 Guay Teaw Nuer Sod,,,$9.50,12,,,122,0,122
NS1 Teaw NuerSod,,,$9.50,25,,,240.5,0,240.5
NS11 Udon Tom Yum **,,,$9.95,3,,,33.85,0,33.85
NS11 Udon TomYum,,,$9.95,7,,,71.65,0,71.65
NS12 Yen Ta Fo Seafood **,,,$11.50,2,,,32,0,32
NS12 YenTaFo Sea,,,$11.50,1,,,11.5,0,11.5
NS13 Yen Ta Fo Tofu **,,,$9.95,1,,,9.95,0,9.95
NS13 YenTaFo Tofu,,,$9.95,2,,,19.9,0,19.9
NS14 Guay Teaw Tom Yum Moo ****,,,$10.25,1,,,10.25,0,10.25
NS14 TomYum Moo,,,$10.25,11,,,112.75,0,112.75
NS15 Tom Khlong,,,$9.50,4,,,38,0,38
NS15 Tom Khlong **.,,,$9.50,2,,,19,0,19
NS16 Kao Soi,,,$10.95,26,,,286.7,0,286.7
NS16 Kao Soi **,,,$10.95,13,,,157.85,0,157.85
NS5 Guay Teaw Moo,,,$9.50,4,,,38,0,38
NS5 Teaw Moo,,,$9.50,9,,,91.5,0,91.5
NS6 Guay Teaw Gai Toon,,,$9.50,2,,,28,0,28
NS6 Teaw Gai,,,$9.50,7,,,66.5,0,66.5
NS8 Guay Teaw Tom Yum **,,,$10.25,6,,,64.5,0,64.5
NS8 Teaw TomYum,,,$10.25,22,,,238.5,0,238.5
NS9 Guay Teaw Tom Yum Seafood **,,,$12.25,2,,,28.5,0,28.5
NS9 Teaw TomYum Sea,,,$12.25,8,,,98,0,98
Open Food,,,$0.00,4,,,7.5,0,7.5
Organic Brown Rice ,,,$2.50,1,,,2.5,0,2.5
P1 Basil Fried Rice,,,$9.75,102,,,1018.5,0,1018.5
P1 Spicy Basil Fried Rice ****,,,$9.75,38,,,388.5,0,388.5
P10 Spicy Tom Yum Soup **,,,$9.50,6,,,65,0,65
P10 TomYum,,,$9.50,32,,,316,0,316
P11 Spicy Tom Kha Coconut Soup**,,,$9.50,19,,,188.5,0,188.5
P11 Tom Kha,,,$9.50,75,,,729.5,0,729.5
P12 Panang Curry,,,$9.50,87,,,842,0,842
P12 Panang Curry **,,,$9.50,46,,,457,2,455
P13 Masman Curry,,,$9.50,57,,,548,0,548
P13 Masman Curry **,,,$9.50,24,,,236,0,236
P14 Mixed Vegetable Stir-fried,,,$9.50,21,,,228,0,228
P14 Veg Stir-fried,,,$9.50,39,,,389,0,389
P15 Prik Thai Dum,,,$10.50,28,,,296,0,296
P15	 Pad Prik Thai Dum *,,,$10.50,13,,,146.5,0,146.5
P18 Sweet & Sour,,,$9.50,20,,,194.5,0,194.5
P18 Thai Sweet and Sour,,,$9.50,3,,,30.5,0,30.5
P19 Rice Soup,,,$9.50,3,,,29.5,0,29.5
P2 Pad Ga-Tiam,,,$9.50,48,,,473,0,473
P2 Pad Ga-Tiam Prik Thai *,,,$9.50,9,,,87.5,0,87.5
P22 Prik Khing,,,$9.75,15,,,146.25,0,146.25
P22	 Pad Prik Khing **,,,$9.75,5,,,48.75,0,48.75
P24 Prik Pao,,,$9.50,22,,,216,0,216
P24	 Pad Prik Pao*,,,$9.50,13,,,138,0,138
P25	 Gang Jeud (Soup),,,$9.00,1,,,9,0,9
P26 Gang Pa,,,$10.50,24,,,258,0,258
P26 Gang Pa (Jungle Curry) ****,,,$10.50,9,,,94.5,0,94.5
P28 Amaz,,,$12.50,11,,,144.5,0,144.5
P28	 Amazing Seafood Green Beans ***,,,$12.50,1,,,12.5,0,12.5
P3 Garee Curry,,,$9.50,68,,,671.5,0,671.5
P3 Garee Curry **,,,$9.50,30,,,304,0,304
P31 Amaz Grn Bean,,,$10.50,28,,,294,2.1,291.9
P31	 Spicy Amazing Green Beans  ***,,,$10.50,6,,,63,0,63
P32 Pad Nor Mai,,,$10.50,18,,,197,0,197
P34 Bean Sprout,,,$8.95,3,,,26.85,0,26.85
P34	 Stir-fried Bean Sprout,,,$8.95,5,,,56.75,0,56.75
P35 Kai Jeaw,,,$9.50,7,,,66.5,0,66.5
P35	 Kai Jeaw,,,$9.50,1,,,9.5,0,9.5
P38 Kaeng Daeng Vegetables **,,,$10.50,4,,,49,0,49
P38 Kaeng Veg,,,$10.50,7,,,77.5,0,77.5
P4 Keow Wan Curry **,,,$9.50,28,,,291,0,291
P4 Keow Wan Curry ** (GF),,,$10.50,1,,,10.5,0,10.5
P4 KeowWan Curry,,,$9.50,64,,,626.5,0,626.5
P41 S Panang Beef,,,$14.95,45,,,674.75,0,674.75
P41 Special Panang Beef Curry **,,,$14.95,15,,,224.25,0,224.25
P42 S Garee Beef,,,$15.50,30,,,471.5,0,471.5
P42 Special Garee Beef Curry **,,,$15.50,2,,,31,0,31
P42 Special Garee Beef Curry ** (GF),,,$16.50,1,,,16.5,0,16.5
P45 S Gang Prik,,,$10.95,19,,,220.05,0,220.05
P45 special Gang Prik ****,,,$10.95,1,,,16.95,0,16.95
P47 Pad Prik Gang,,,$10.50,30,,,338.5,0,338.5
P47 Pad Prik Gang ****,,,$10.50,6,,,65,0,65
P5 Gang Kua Supparod Curry*,,,$9.95,9,,,92.55,0,92.55
P5 Gang Supparod,,,$9.95,12,,,128.6,0,128.6
P6 Fried Rice,,,$8.75,229,,,2064.25,0,2064.25
P6	 House Fried Rice,,,$8.75,85,,,806,0,806
P6	 House Fried Rice (Veg),,,$8.75,1,,,8.75,0,8.75
P61 Crab FriRice,,,$14.25,32,,,456,0,456
P61 Mam's Crab Fried Rice,,,$14.25,12,,,173,0,173
P62 St FriRice,,,$9.75,86,,,862.5,0,862.5
P62 Street Fried Rice,,,$9.50,90,,,885.5,2.38,883.12
P62	 Street Fried Rice,,,$9.75,91,,,916.25,0,916.25
P63 Thai egg Explosion,,,$10.75,26,,,279.5,0,279.5
P7 Pineapple Fried Rice,,,$11.75,37,,,436.75,0,436.75
P7 Pineapple Fried Rice (Veg),,,$11.75,4,,,49,0,49
P7 Pineapple FriRice,,,$11.75,68,,,815.5,0,815.5
P8 Pad Ga-Prao,,,$9.50,19,,,184.5,0,184.5
P8 Pad Ped Ga-Prao ** ,,,$9.50,8,,,76,0,76
P9 Pad Ga-Prao,,,$10.50,2,,,21,0,21
P9 Pad Ped Ga-Prao ( Shrimp or Squid )**,,,$10.50,6,,,77,0,77
Pepsi,,,$2.50,44,,,110,0,110
Plain Sticky Rice,,,$2.50,1,,,2.5,0,2.5
Rice,,,$2.00,33,,,66,0,66
Roast Chili S,,,$8.00,2,,,16,0,16
Root Beer,,,$2.50,2,,,5,0,5
S1 Madam Mam's Salad,,,$4.95,2,,,9.9,0,9.9
S1 Mam's Salad,,,$4.95,14,,,69.3,0,69.3
S2 Sauce,,,$0.75,2,,,1.5,0,1.5
S2 Yum Nuer,,,$11.25,15,,,168.75,0,168.75
S2 Yum Nuer **,,,$11.25,3,,,38.75,0,38.75
S3 Num Tok,,,$11.25,20,,,225,0,225
S3 Num Tok (Waterfall) **,,,$11.25,5,,,61.25,0,61.25
S4 Papaya Salad (Veg),,,$9.95,1,,,9.95,0,9.95
S4 Som Tum,,,$9.95,17,,,169.15,0,169.15
S4 Som Tum (Papaya Salad) **,,,$9.95,7,,,69.65,0,69.65
S5 Yum Green Bean *,,,$10.95,2,,,22.9,0,22.9
S5 Yum Grn Bean,,,$10.95,7,,,77.65,0,77.65
Sapporo,,,$3.00,18,,,54,0,54
SD Amz Sauce,,,$0.75,1,,,0.75,0,0.75
SD Beef,,,$3.00,1,,,3,0,3
SD Bok Choy,,,$2.00,6,,,12,0,12
SD Broccoli,,,$2.00,2,,,4,0,4
SD Flat Noodle,,,$2.00,5,,,10,0,10
SD Fried Egg Noodle,,,$2.00,1,,,2,0,2
SD Lime/Lemon,,,$0.50,5,,,2.5,0,2.5
SD Mix Veggies,,,$3.00,1,,,3,0,3
SD Mushroom,,,$2.00,1,,,2,0,2
SD Steamed Egg Noodle,,,$2.00,1,,,2,0,2
SD Tilapia-Fried (1 pc),,,$2.50,2,,,5,0,5
SD Udon,,,$2.00,2,,,4,0,4
SD Vermicelli,,,$2.00,4,,,8,0,8
Sierra Mist,,,$2.50,7,,,17.5,0,17.5
Singha,,,$3.00,29,,,87,0,87
Soda Water,,,$1.50,11,,,16.5,0,16.5
Sticky Rice,,,$3.00,12,,,36,0,36
Sub Brown Rice,,,$2.00,3,,,6,0,6
Sweet Ice Tea,,,$3.00,6,,,18,0,18
Sweet Sticky Rice topped with Coconut Sauce,,,$3.50,6,,,21,0,21
Thai Coffee,,,$3.50,67,,,234.5,0,234.5
Thai Coffee(No Ice),,,$4.75,1,,,4.75,0,4.75
Thai Milk Green Tea,,,$3.95,54,,,213.3,0.99,212.31
Thai Tea,,,$3.50,214,,,749,0.88,748.12
